Track,Car,Time of Day,Time Lapse,Cloud Cover,Precipitation,Finish Time,Sector 1,Sector 2,Sector 3,Date of Race,Time of Race
Takahagi Hills,Maserati GranTurismo MC Stradale,12:00,60,Clear,Dry,02:06.773,00:44.981,00:38.196,00:43.596,2015-03-07,21:24
Tamil Nadu 01,Hennessey Venom GT,09:00,15,Cloudy,Dry,01:19.347,00:23.468,00:27.909,00:27.970,2015-03-24,22:08
The Kyle,Pagani Huayra,14:00,1,Clear,Dry,01:55.7,00:40.7,00:39.1,00:35.9,2014-12-30,20:23
The Kyle,W Motors Lykan Hypersport,14:00,1,Clear,Dry,01:56.9,00:41.4,00:40.2,00:35.3,2014-12-26,17:14
The Kyle,W Motors Lykan Hypersport,14:00,1,Clear,Dry,01:57.8,00:41.8,00:39.0,00:37.1,2014-12-26,17:11
The Kyle,Pagani Huayra,14:00,1,Clear,Dry,01:58.9,00:42.8,00:40.1,00:36.1,2014-12-30,20:20
The Kyle,Ariel Atom 500 V8,14:00,1,Clear,Dry,2:02.932,0:42.981,0:43.775,0:36.176,2016-11-27,19:25
The Kyle,Aston Martin 12 Vantage S,14:00,1,Clear,Dry,02:08.1,00:46.5,00:41.9,00:39.6,2014-12-30,20:45
The Kyle,Ferrari 458 Italia,14:00,1,Clear,Dry,02:08.809,00:45.314,00:43.374,00:40.121,2015-05-10,16:47
The Kyle,Ariel Atom 500 V8,14:00,1,Clear,Dry,2:09.032,0:46.632,0:44.286,0:38.114,2016-11-27,19:19
The Kyle,Ferrari 488 GTB,14:00,1,Clear,Dry,2:09.237,0:44.967,0:45.550,0:38.720,2016-11-27,19:31
The Kyle,Ferrari 458 Italia,14:00,1,Clear,Dry,02:10.331,00:45.599,00:43.575,00:41.157,2015-05-10,16:50
The Kyle,Aston Martin 12 Vantage S,14:00,1,Clear,Dry,02:11.5,00:46.4,00:45.9,00:39.2,2014-12-30,20:35
The Kyle,Aston Martin V12 Zagato,14:00,1,Clear,Dry,02:14.6,00:49.1,00:45.2,00:40.3,2014-12-26,17:18
The Kyle,W Motors Lykan Hypersport,14:00,1,Clear,Dry,02:16.1,00:42.7,00:44.1,00:49.3,2014-12-26,17:07
